ID,Decision,Build_Selfcon,Tier,Marital_Status,Employer_Type,OldEmi_d,BankSave_d,Age,YrsAdd,YrsJob,TotInc,MarVal,LoanReq,Term,CalcEmi,IIR,IAR,OldEmi,LTV,FOIR
DEL-2FQK-659240,0,Self Contruction,1,Married,Business,0,0,42,32,8,51090,1000000,300000,84,6130.740234,11.99988302,16.00005281,0,30,11.99988302
DEL-1KJ3-587750,1,Self Contruction,1,Married,Corporate,0,0,29,15,7,14983,1851852,500000,120,8689.879883,57.99826392,87.00320267,0,26.99999784,57.99826392
DEL-67Q9-701854,1,Self Contruction,1,Married,Ind/SmallBus,0,0,27,2,3,24338,860759,680000,180,10465.23047,42.99954996,87.0000039,0,79.00004531,42.99954996
DEL-DI55-751057,1,Self Contruction,1,Married,Ind/SmallBus,0,0,49,1,5,41435,1400000,700000,180,10773.03027,25.99983172,39.0002182,0,50,25.99983172
DEL-H07F-618740,1,Self Contruction,1,Married,Ind/SmallBus,0,0,31,4,6,12825,897436,350000,180,5386.52002,42.0001561,75.99492127,0,38.99999554,42.0001561
DEL-85C0-547380,1,Self Contruction,1,Married,Ind/SmallBus,0,0,43,1,20,37537,1754386,1000000,180,15390.04004,40.99965378,56.00043679,0,56.99999886,40.99965378
DEL-I4VD-737616,1,Self Contruction,1,Married,Business,0,0,30,5,12,26233,949367,750000,180,11542.53027,44.00003916,70.00139653,0,79.00000737,44.00003916
DEL-GHS4-647734,1,Self Contruction,1,Married,Business,0,0,29,18,12,68400,1194030,800000,180,12312.03027,18.00004426,25.99997946,0,66.99999163,18.00004426
DEL-IKA4-871989,0,Self Contruction,1,Married,Ind/SmallBus,0,0,49,10,15,42750,1492537,1000000,180,15390.04004,36.00009366,82.00149211,0,67.00001407,36.00009366
DEL-8JN1-908771,1,Self Contruction,1,Married,Ind/SmallBus,1,0,45,10,17,43972,1298701,1000000,180,15390.04004,34.99963622,82.00149211,3799,77.00001771,43.63922505
DEL-8N0J-576416,1,Self Contruction,1,Married,Business,0,0,40,1,10,36212,3478261,800000,180,12312.03027,33.99986268,58.99957003,0,22.99999914,33.99986268
DEL-7L2I-511635,0,Self Contruction,1,Unmarried,Business,0,0,31,10,5,66913,1408451,1000000,180,15390.04004,23.00007478,29.0000566,0,70.99998509,23.00007478
DEL-038U-511746,1,Self Contruction,1,Married,Ind/SmallBus,1,0,30,2,1,34045,1303571,730000,180,11234.73047,32.9996489,58.99973988,5747,56.00001841,49.88024811
DEL-U003-715664,1,Self Contruction,1,Unmarried,Business,0,0,25,9,9,21161,687500,550000,180,8464.519531,40.00056487,76.99917703,0,80,40.00056487
DEL-FTIE-620489,0,Self Contruction,1,Married,Business,0,0,47,12,16,20250,2000000,500000,180,7695.02002,38.00009886,58.00120615,0,25,38.00009886
